avg_val_loss,epoch,step,loss
4.132643222808838,0,36,
,1,36,6.183772087097168
4.043728828430176,1,73,
,2,73,4.366611003875732
3.9370028972625732,2,110,
,3,110,4.301006317138672
3.8980414867401123,3,147,
,4,147,4.290372848510742
3.955746650695801,4,184,
,5,184,4.291021823883057
3.956040620803833,5,221,
,6,221,4.277851104736328
3.965020179748535,6,258,
,7,258,4.259297847747803
3.9108145236968994,7,295,
,8,295,4.267338275909424
3.9221625328063965,8,332,
,9,332,4.256539821624756
3.9545724391937256,9,369,
,10,369,4.244653701782227
3.961820602416992,10,406,
,11,406,4.223284721374512
3.9341650009155273,11,443,
,12,443,4.21978759765625
3.9519968032836914,12,480,
,13,480,4.179571151733398
3.8770534992218018,13,517,
,14,517,4.173254013061523
3.8377811908721924,14,554,
,15,554,4.125401020050049
3.784705638885498,15,591,
,16,591,4.06299352645874
3.8294477462768555,16,628,
,17,628,4.0228776931762695
3.7986254692077637,17,665,
,18,665,3.9624598026275635
3.7991943359375,18,702,
,19,702,3.9358975887298584
3.740868091583252,19,739,
,20,739,3.8702714443206787
3.789017915725708,20,776,
,21,776,3.812490224838257
3.737298011779785,21,813,
,22,813,3.7616701126098633
3.744641065597534,22,850,
,23,850,3.6925907135009766
3.7729716300964355,23,887,
,24,887,3.6613643169403076
3.7347564697265625,24,924,
,25,924,3.6121716499328613
3.851879358291626,25,961,
,26,961,3.5706164836883545
3.7670931816101074,26,998,
,27,998,3.509291410446167
3.7863590717315674,27,1035,
,28,1035,3.4528608322143555
3.813133955001831,28,1072,
,29,1072,3.4196577072143555
3.836726188659668,29,1109,
,30,1109,3.3660218715667725
